Date,Adj Close,Close,High,Low,Open,Volume,Price
2019-10-01,129.94683837890625,137.07000732421875,140.25,137.0,139.66000366210938,21466600,129.94683837890625
2019-10-02,127.6525650024414,134.64999389648438,136.3699951171875,133.5800018310547,136.25,30521700,127.6525650024414
2019-10-03,129.19784545898438,136.27999877929688,136.75,133.22000122070312,134.9499969482422,24132900,129.19784545898438
2019-10-04,130.94224548339844,138.1199951171875,138.25,136.4199981689453,136.75,22897700,130.94224548339844
2019-10-07,129.9941864013672,137.1199951171875,138.17999267578125,137.02000427246094,137.13999938964844,15303700,129.9941864013672
2019-10-08,128.61956787109375,135.6699981689453,137.75999450683594,135.6199951171875,137.0800018310547,25550500,128.61956787109375
2019-10-09,131.05601501464844,138.24000549316406,138.6999969482422,136.97000122070312,137.4600067138672,19749900,131.05601501464844
2019-10-10,131.87132263183594,139.10000610351562,139.6699981689453,138.25,138.49000549316406,17654600,131.87132263183594
2019-10-11,132.421142578125,139.67999267578125,141.02999877929688,139.5,140.1199951171875,25446000,132.421142578125
2019-10-14,132.2979278564453,139.5500030517578,140.2899932861328,139.52000427246094,139.69000244140625,13304300,132.2979278564453
2019-10-15,134.21295166015625,141.57000732421875,141.7899932861328,139.80999755859375,140.05999755859375,19695700,134.21295166015625
2019-10-16,133.11325073242188,140.41000366210938,140.99000549316406,139.52999877929688,140.7899932861328,20751600,133.11325073242188
2019-10-17,132.43064880371094,139.69000244140625,141.4199981689453,139.02000427246094,140.9499969482422,21460600,132.43064880371094
2019-10-18,130.26914978027344,137.41000366210938,140.0,136.55999755859375,139.75999450683594,32273500,130.26914978027344
2019-10-21,131.23614501953125,138.42999267578125,138.5,137.00999450683594,138.4499969482422,20078200,131.23614501953125
2019-10-22,129.2831573486328,136.3699951171875,140.00999450683594,136.25999450683594,138.97000122070312,27431000,129.2831573486328
2019-10-23,130.10800170898438,137.24000549316406,137.4499969482422,135.61000061035156,136.8800048828125,29844600,130.10800170898438
2019-10-24,132.6676483154297,139.94000244140625,140.4199981689453,138.6699981689453,139.38999938964844,37029300,132.6676483154297
2019-10-25,133.41664123535156,140.72999572753906,141.13999938964844,139.1999969482422,139.33999633789062,25959700,133.41664123535156
2019-10-28,136.69677734375,144.19000244140625,145.6699981689453,143.50999450683594,144.39999389648438,35280100,136.69677734375
2019-10-29,135.407470703125,142.8300018310547,144.5,142.64999389648438,144.0800018310547,20589500,135.407470703125
2019-10-30,137.094970703125,144.61000061035156,145.0,142.7899932861328,143.52000427246094,18496600,137.094970703125
2019-10-31,135.91946411132812,143.3699951171875,144.92999267578125,142.99000549316406,144.89999389648438,24605100,135.91946411132812
2019-11-01,136.25128173828125,143.72000122070312,144.4199981689453,142.97000122070312,144.25999450683594,33128400,136.25128173828125
2019-11-04,137.0380859375,144.5500030517578,145.0,144.16000366210938,144.8300018310547,16912000,137.0380859375
2019-11-05,136.95277404785156,144.4600067138672,145.02000427246094,143.91000366210938,144.97000122070312,18250200,136.95277404785156
2019-11-06,136.57357788085938,144.05999755859375,144.52000427246094,143.1999969482422,144.3699951171875,16575800,136.57357788085938
2019-11-07,136.76316833496094,144.25999450683594,144.8800048828125,143.77000427246094,143.83999633789062,17786700,136.76316833496094
2019-11-08,138.37486267089844,145.9600067138672,145.99000549316406,143.75999450683594,143.97999572753906,16732700,138.37486267089844
2019-11-11,138.51705932617188,146.11000061035156,146.4199981689453,144.72999572753906,145.33999633789062,14362600,138.51705932617188
2019-11-12,139.42715454101562,147.07000732421875,147.57000732421875,146.05999755859375,146.27999877929688,18641600,139.42715454101562
2019-11-13,139.6546630859375,147.30999755859375,147.4600067138672,146.27999877929688,146.74000549316406,16919200,139.6546630859375
2019-11-14,140.3656768798828,148.05999755859375,148.41000366210938,147.0,147.02000427246094,19729800,140.3656768798828
2019-11-15,142.17645263671875,149.97000122070312,149.99000549316406,148.27000427246094,148.92999267578125,23485700,142.17645263671875
